F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	min-5	mean-5	max-5	w-mean-5	ext2-5	
0.0560	3.7338e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0570	3.7299e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0580	3.7259e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0590	3.722e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.899	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0600	3.718e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.899	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0610	3.714e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0620	3.7101e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0630	3.7061e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.856	0.856	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0640	3.7022e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.856	0.856	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0650	3.6982e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.856	0.856	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
0.0660	3.6943e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.862	0.862	0.899	0.036	0.835	0.855	0.855	0.881	0.038	0.886	0.902	0.902	0.920	0.025	0.896	0.905	0.905	0.913	0.025	
