F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	
0.8249	6.9243e+005	0.378	0.631	0.631	0.881	0.114	0.287	0.648	0.648	0.907	0.116	0.233	0.622	0.622	0.946	0.130	0.273	0.617	0.617	0.925	0.127	
0.8259	6.8847e+005	0.377	0.630	0.630	0.881	0.115	0.286	0.647	0.647	0.907	0.116	0.231	0.621	0.621	0.946	0.131	0.271	0.616	0.616	0.925	0.128	
0.8269	6.8452e+005	0.376	0.629	0.629	0.881	0.115	0.284	0.646	0.646	0.907	0.117	0.230	0.620	0.620	0.945	0.131	0.270	0.615	0.615	0.925	0.128	
0.8279	6.8056e+005	0.374	0.628	0.628	0.880	0.116	0.282	0.644	0.644	0.907	0.117	0.229	0.619	0.619	0.945	0.132	0.268	0.613	0.613	0.925	0.129	
0.8289	6.7661e+005	0.373	0.626	0.626	0.880	0.116	0.281	0.643	0.643	0.907	0.118	0.228	0.618	0.618	0.945	0.132	0.267	0.612	0.612	0.925	0.129	
0.8299	6.7265e+005	0.372	0.625	0.625	0.880	0.117	0.279	0.642	0.642	0.907	0.118	0.227	0.617	0.617	0.945	0.133	0.265	0.611	0.611	0.925	0.130	
0.8309	6.687e+005	0.370	0.624	0.624	0.879	0.117	0.277	0.641	0.641	0.907	0.119	0.226	0.616	0.616	0.945	0.133	0.264	0.610	0.610	0.925	0.131	
0.8319	6.6474e+005	0.369	0.623	0.623	0.879	0.118	0.276	0.640	0.640	0.907	0.119	0.224	0.615	0.615	0.945	0.134	0.263	0.609	0.609	0.924	0.131	
0.8329	6.6079e+005	0.367	0.622	0.622	0.879	0.118	0.274	0.639	0.639	0.907	0.120	0.223	0.614	0.614	0.945	0.134	0.261	0.608	0.608	0.924	0.132	
0.8339	6.5683e+005	0.366	0.620	0.620	0.878	0.119	0.272	0.638	0.638	0.907	0.120	0.222	0.613	0.613	0.945	0.135	0.260	0.607	0.607	0.924	0.132	
0.8349	6.5288e+005	0.364	0.619	0.619	0.878	0.119	0.271	0.637	0.637	0.907	0.121	0.221	0.612	0.612	0.945	0.135	0.259	0.605	0.605	0.924	0.133	
0.8359	6.4892e+005	0.363	0.618	0.618	0.878	0.120	0.269	0.635	0.635	0.907	0.122	0.220	0.610	0.610	0.945	0.136	0.257	0.604	0.604	0.924	0.133	
0.8369	6.4497e+005	0.362	0.616	0.616	0.877	0.120	0.268	0.634	0.634	0.907	0.122	0.219	0.609	0.609	0.944	0.136	0.256	0.603	0.603	0.924	0.134	
