F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	
0.0260	3.8525e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0270	3.8485e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0280	3.8446e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0290	3.8406e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0300	3.8367e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0310	3.8327e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0320	3.8287e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0330	3.8248e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0340	3.8208e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
0.0350	3.8169e+006	0.856	0.887	0.891	0.907	0.028	0.836	0.876	0.882	0.908	0.031	0.884	0.915	0.923	0.957	0.020	0.852	0.885	0.897	0.928	0.027	
